температура печи
2.9500000476837e+00 1.4424932479858e+01 0.0000000000000e+00
2.9666666984558e+00 1.4449932098389e+01 0.0000000000000e+00
2.9833333492279e+00 1.4474931716919e+01 0.0000000000000e+00
3.0000000000000e+00 1.4499931335449e+01 0.0000000000000e+00
3.0166666507721e+00 1.4524930953979e+01 0.0000000000000e+00
3.0333333015442e+00 1.4549930572510e+01 0.0000000000000e+00
3.0499999523163e+00 1.4574930191040e+01 0.0000000000000e+00
3.0666666030884e+00 1.4599929809570e+01 0.0000000000000e+00
3.0833332538605e+00 1.4624929428101e+01 0.0000000000000e+00
3.0999999046326e+00 1.4649929046631e+01 0.0000000000000e+00
3.1166665554047e+00 1.4674928665161e+01 0.0000000000000e+00
3.1333334445953e+00 1.4699928283691e+01 0.0000000000000e+00
3.1500000953674e+00 1.4724927902222e+01 0.0000000000000e+00
3.1666667461395e+00 1.4749927520752e+01 0.0000000000000e+00
3.1833333969116e+00 1.4774927139282e+01 0.0000000000000e+00
3.2000000476837e+00 1.4799926757812e+01 0.0000000000000e+00
3.2166666984558e+00 1.4824926376343e+01 0.0000000000000e+00
3.2333333492279e+00 1.4849925994873e+01 0.0000000000000e+00
3.2500000000000e+00 1.4874925613403e+01 0.0000000000000e+00
3.2666666507721e+00 1.4899925231934e+01 0.0000000000000e+00
3.2833333015442e+00 1.4924924850464e+01 0.0000000000000e+00
3.2999999523163e+00 1.4949924468994e+01 0.0000000000000e+00
3.3166666030884e+00 1.4974924087524e+01 0.0000000000000e+00
3.3333332538605e+00 1.4999923706055e+01 0.0000000000000e+00
3.3499999046326e+00 1.5024923324585e+01 0.0000000000000e+00
3.3666665554047e+00 1.5049922943115e+01 0.0000000000000e+00
3.3833334445953e+00 1.5074922561646e+01 0.0000000000000e+00
3.4000000953674e+00 1.5099922180176e+01 0.0000000000000e+00
3.4166667461395e+00 1.5124921798706e+01 0.0000000000000e+00
3.4333333969116e+00 1.5149921417236e+01 0.0000000000000e+00
3.4500000476837e+00 1.5174921035767e+01 0.0000000000000e+00
3.4666666984558e+00 1.5199920654297e+01 0.0000000000000e+00
3.4833333492279e+00 1.5224920272827e+01 0.0000000000000e+00
3.5000000000000e+00 1.5249919891357e+01 0.0000000000000e+00
3.5166666507721e+00 1.5274919509888e+01 0.0000000000000e+00
3.5333333015442e+00 1.5299919128418e+01 0.0000000000000e+00
3.5499999523163e+00 1.5324918746948e+01 0.0000000000000e+00
3.5666666030884e+00 1.5349918365479e+01 0.0000000000000e+00
3.5833332538605e+00 1.5374917984009e+01 0.0000000000000e+00
3.5999999046326e+00 1.5399917602539e+01 0.0000000000000e+00
3.6166665554047e+00 1.5424917221069e+01 0.0000000000000e+00
3.6333334445953e+00 1.5449916839600e+01 0.0000000000000e+00
3.6500000953674e+00 1.5474916458130e+01 0.0000000000000e+00
3.6666667461395e+00 1.5499916076660e+01 0.0000000000000e+00
3.6833333969116e+00 1.5524915695190e+01 0.0000000000000e+00
3.7000000476837e+00 1.5549915313721e+01 0.0000000000000e+00
3.7166666984558e+00 1.5574914932251e+01 0.0000000000000e+00
3.7333333492279e+00 1.5599914550781e+01 0.0000000000000e+00
3.7500000000000e+00 1.5624914169312e+01 0.0000000000000e+00
3.7666666507721e+00 1.5649913787842e+01 0.0000000000000e+00
3.7833333015442e+00 1.5674913406372e+01 0.0000000000000e+00
3.7999999523163e+00 1.5699913024902e+01 0.0000000000000e+00
3.8166666030884e+00 1.5724912643433e+01 0.0000000000000e+00
3.8333332538605e+00 1.5749912261963e+01 0.0000000000000e+00
3.8499999046326e+00 1.5774911880493e+01 0.0000000000000e+00
3.8666665554047e+00 1.5799911499023e+01 0.0000000000000e+00
3.8833334445953e+00 1.5824911117554e+01 0.0000000000000e+00
3.9000000953674e+00 1.5849910736084e+01 0.0000000000000e+00
3.9166667461395e+00 1.5874910354614e+01 0.0000000000000e+00
3.9333333969116e+00 1.5899909973145e+01 0.0000000000000e+00
3.9500000476837e+00 1.5924909591675e+01 0.0000000000000e+00
3.9666666984558e+00 1.5949909210205e+01 0.0000000000000e+00
3.9833333492279e+00 1.5974908828735e+01 0.0000000000000e+00
4.0000000000000e+00 1.5999908447266e+01 0.0000000000000e+00
4.0166668891907e+00 1.6024908065796e+01 0.0000000000000e+00
4.0333333015442e+00 1.6049907684326e+01 0.0000000000000e+00
4.0500001907349e+00 1.6074907302856e+01 0.0000000000000e+00
4.0666666030884e+00 1.6099906921387e+01 0.0000000000000e+00
4.0833334922791e+00 1.6124906539917e+01 0.0000000000000e+00
4.0999999046326e+00 1.6149906158447e+01 0.0000000000000e+00
4.1166667938232e+00 1.6174905776978e+01 0.0000000000000e+00
4.1333332061768e+00 1.6199905395508e+01 0.0000000000000e+00
4.1500000953674e+00 1.6224905014038e+01 0.0000000000000e+00
4.1666665077209e+00 1.6249904632568e+01 0.0000000000000e+00
4.1833333969116e+00 1.6274904251099e+01 0.0000000000000e+00
4.1999998092651e+00 1.6299903869629e+01 0.0000000000000e+00
4.2166666984558e+00 1.6324903488159e+01 0.0000000000000e+00
4.2333331108093e+00 1.6349903106689e+01 0.0000000000000e+00
4.2500000000000e+00 1.6374902725220e+01 0.0000000000000e+00
4.2666668891907e+00 1.6399902343750e+01 0.0000000000000e+00
4.2833333015442e+00 1.6424901962280e+01 0.0000000000000e+00
4.3000001907349e+00 1.6449901580811e+01 0.0000000000000e+00
4.3166666030884e+00 1.6474901199341e+01 0.0000000000000e+00
4.3333334922791e+00 1.6499900817871e+01 0.0000000000000e+00
4.3499999046326e+00 1.6524900436401e+01 0.0000000000000e+00
4.3666667938232e+00 1.6549900054932e+01 0.0000000000000e+00
4.3833332061768e+00 1.6574899673462e+01 0.0000000000000e+00
4.4000000953674e+00 1.6599899291992e+01 0.0000000000000e+00
4.4166665077209e+00 1.6624898910522e+01 0.0000000000000e+00
4.4333333969116e+00 1.6649898529053e+01 0.0000000000000e+00
4.4499998092651e+00 1.6674898147583e+01 0.0000000000000e+00
4.4666666984558e+00 1.6699897766113e+01 0.0000000000000e+00
4.4833331108093e+00 1.6724897384644e+01 0.0000000000000e+00
4.5000000000000e+00 1.6749897003174e+01 0.0000000000000e+00
4.5166668891907e+00 1.6774896621704e+01 0.0000000000000e+00
4.5333333015442e+00 1.6799896240234e+01 0.0000000000000e+00
4.5500001907349e+00 1.6824895858765e+01 0.0000000000000e+00
4.5666666030884e+00 1.6849895477295e+01 0.0000000000000e+00
4.5833334922791e+00 1.6874895095825e+01 0.0000000000000e+00
4.5999999046326e+00 1.6899894714355e+01 0.0000000000000e+00
4.6166667938232e+00 1.6924894332886e+01 0.0000000000000e+00
4.6333332061768e+00 1.6949893951416e+01 0.0000000000000e+00
4.6500000953674e+00 1.6974893569946e+01 0.0000000000000e+00
4.6666665077209e+00 1.6999893188477e+01 0.0000000000000e+00
4.6833333969116e+00 1.7024892807007e+01 0.0000000000000e+00
4.6999998092651e+00 1.7049892425537e+01 0.0000000000000e+00
4.7166666984558e+00 1.7074892044067e+01 0.0000000000000e+00
4.7333331108093e+00 1.7099891662598e+01 0.0000000000000e+00
4.7500000000000e+00 1.7124891281128e+01 0.0000000000000e+00
4.7666668891907e+00 1.7149890899658e+01 0.0000000000000e+00
4.7833333015442e+00 1.7174890518188e+01 0.0000000000000e+00
4.8000001907349e+00 1.7199890136719e+01 0.0000000000000e+00
4.8166666030884e+00 1.7224889755249e+01 0.0000000000000e+00
4.8333334922791e+00 1.7249889373779e+01 0.0000000000000e+00
4.8499999046326e+00 1.7274888992310e+01 0.0000000000000e+00
4.8666667938232e+00 1.7299888610840e+01 0.0000000000000e+00
4.8833332061768e+00 1.7324888229370e+01 0.0000000000000e+00
4.9000000953674e+00 1.7349887847900e+01 0.0000000000000e+00
4.9166665077209e+00 1.7374887466431e+01 0.0000000000000e+00
4.9333333969116e+00 1.7399887084961e+01 0.0000000000000e+00
4.9499998092651e+00 1.7424886703491e+01 0.0000000000000e+00
4.9666666984558e+00 1.7449886322021e+01 0.0000000000000e+00
4.9833331108093e+00 1.7474885940552e+01 0.0000000000000e+00
5.0000000000000e+00 1.7499885559082e+01 0.0000000000000e+00
